employee_id,fullname,nip,years_of_service_months,company_name,area_name,position_name,department_name,division_name,directorate_name,grade_name,education_name,major_name,is_high
EMP100000,Rendra Pratama,806137,64,PT Aurora Beauty Indonesia,Store,Brand Executive,R&D,Product Dev,Technology,IV,S2,Business,0.0
EMP100001,Wulan Setiawan,476388,16,PT Mandala Distribution Center,Store,HRBP,Operations,Talent Management,Technology,III,D3,Design,0.0
EMP100002,Julia Jatmiko Situmorang,941921,58,PT Aurora Beauty Indonesia,Plant,Sales Supervisor,Finance,Digital Marketing,Technology,III,S2,Business,0.0
EMP100003,Oka Halim,751615,15,PT Aurora Beauty Indonesia,Plant,HRBP,HR,Digital Marketing,Commercial,IV,S1,Psychology,0.0
EMP100004,Dwi Pratama,443809,34,PT Lumo Cosmetics Asia,Store,Supply Planner,Operations,Product Dev,Technology,III,D3,Psychology,0.0
EMP100005,Bayu Zulfikar,590302,66,PT Aurora Beauty Indonesia,Distribution,Sales Supervisor,HR,Product Dev,Commercial,III,S2,Business,0.0
EMP100006,Indra Santoso,826406,82,PT Aurora Beauty Indonesia,Plant,Finance Officer,HR,Digital Marketing,HR & Corp Affairs,III,D3,Engineering,0.0
EMP100007,Rani Mahendra,878510,56,PT Mandala Distribution Center,Plant,HRBP,IT,Operations,HR & Corp Affairs,V,S1,Business,0.0
EMP100008,Gita Permadi,189647,40,PT VASKA Wellness,Store,Finance Officer,Finance,Talent Management,Commercial,III,SMA,Business,0.0
EMP100009,Julia Anggara,931718,77,PT Aurora Beauty Indonesia,HQ,Sales Supervisor,R&D,Sales,Commercial,V,S2,Design,
EMP100010,Maya Jatmiko Handayani,967930,29,PT VASKA Wellness,Plant,HRBP,IT,Operations,HR & Corp Affairs,V,D3,Engineering,1.0
EMP100011,Fajar Halim,617452,51,PT Mandala Distribution Center,Distribution,Finance Officer,Operations,Operations,Technology,V,S1,Business,1.0
EMP100012,Rendra Tri Purnama,457211,3,PT Aurora Beauty Indonesia,HQ,Data Analyst,IT,Operations,Commercial,IV,SMA,Statistics,1.0
EMP100013,Maya Mahendra,656829,3,PT Mandala Distribution Center,Store,Supply Planner,HR,Digital Marketing,HR & Corp Affairs,V,D3,Engineering,0.0
EMP100014,Wahyu Indrawan,503585,65,PT Lumo Cosmetics Asia,Plant,Supply Planner,Finance,Product Dev,Commercial,IV,SMA,Design,0.0
EMP100015,Zahra Utama Setiawan,155133,28,PT Mandala Distribution Center,HQ,Finance Officer,Marketing,Talent Management,HR & Corp Affairs,V,S1,Business,
EMP100016,Dinda Pramudita Ginting,658786,39,PT Aurora Beauty Indonesia,Store,Supply Planner,R&D,Talent Management,HR & Corp Affairs,IV,D3,Economics,0.0
EMP100017,Fajar Mahendra,583676,95,PT VASKA Wellness,Distribution,HRBP,IT,Digital Marketing,HR & Corp Affairs,V,S1,Design,0.0
EMP100018,Arif Ginting,588205,53,PT Mandala Distribution Center,Plant,Sales Supervisor,IT,Talent Management,Technology,IV,D3,Statistics,0.0
EMP100019,Rizki Iqbal Gunawan,341900,27,PT Lumo Cosmetics Asia,Store,HRBP,HR,Digital Marketing,HR & Corp Affairs,III,S2,Statistics,0.0
EMP100020,Yoga Erlangga Hartanto,850478,31,PT Aurora Beauty Indonesia,Plant,Brand Executive,R&D,Sales,Commercial,IV,SMA,Psychology,0.0
EMP100021,Oka Candra Kurniawan,828497,81,PT Lumo Cosmetics Asia,Plant,Brand Executive,Marketing,Product Dev,HR & Corp Affairs,V,S1,Statistics,
EMP100022,Oka Nugroho,674733,53,PT VASKA Wellness,Distribution,Data Analyst,IT,Digital Marketing,HR & Corp Affairs,IV,S2,Economics,0.0
EMP100023,Adit Kurniawan,555024,49,PT Mandala Distribution Center,HQ,Finance Officer,HR,Digital Marketing,HR & Corp Affairs,IV,SMA,Business,0.0
EMP100024,Rendra Candra Maulida,884289,44,PT VASKA Wellness,Distribution,Sales Supervisor,IT,Operations,HR & Corp Affairs,IV,S2,Engineering,1.0
EMP100025,Rizky Dharma Purnama,786831,20,PT Aurora Beauty Indonesia,Plant,Brand Executive,HR,Talent Management,Technology,V,S1,Design,
EMP100026,Wulan Yudhistira Tamba,926498,65,PT Mandala Distribution Center,Distribution,HRBP,HR,Talent Management,HR & Corp Affairs,IV,SMA,Economics,1.0
EMP100027,Oka Rohman,176075,132,PT Lumo Cosmetics Asia,Plant,Data Analyst,Finance,Talent Management,Commercial,V,S2,Design,0.0
EMP100028,Nadia Saputra,373327,22,PT Lumo Cosmetics Asia,Distribution,Finance Officer,IT,Sales,Commercial,IV,SMA,Psychology,0.0
EMP100029,Satya Adi Hasibuan,491714,32,PT Lumo Cosmetics Asia,Plant,Sales Supervisor,R&D,Talent Management,Commercial,III,D3,Psychology,
EMP100030,Rizky Anugrah Permadi,276288,56,PT Lumo Cosmetics Asia,Distribution,Sales Supervisor,IT,Sales,HR & Corp Affairs,V,S2,Engineering,0.0
EMP100031,Julia Nabila Kurniawan,379652,34,PT Mandala Distribution Center,Store,Finance Officer,HR,Sales,Technology,IV,SMA,Design,0.0
EMP100032,Galih Mahardika Purnama,980623,34,PT VASKA Wellness,Distribution,Finance Officer,R&D,Product Dev,Technology,III,SMA,Design,0.0
EMP100033,Ahmad Simanjuntak,846300,37,PT VASKA Wellness,HQ,Sales Supervisor,IT,Digital Marketing,Technology,IV,SMA,Economics,0.0
EMP100034,Ari Adi Ginting,510070,86,PT Aurora Beauty Indonesia,Store,Supply Planner,Operations,Talent Management,HR & Corp Affairs,III,SMA,Business,
EMP100035,Oka Tamba,243414,57,PT Lumo Cosmetics Asia,Store,Brand Executive,Operations,Sales,Technology,V,S1,Engineering,0.0
EMP100036,Ayunda Utama Lestari,515963,54,PT VASKA Wellness,Distribution,Brand Executive,R&D,Sales,Technology,V,S1,Economics,0.0
EMP100037,Nabila Ramadhan,967856,52,PT Aurora Beauty Indonesia,Distribution,Supply Planner,Marketing,Operations,Commercial,IV,S1,Statistics,0.0
EMP100038,Bella Tri Setiawan,446315,50,PT Lumo Cosmetics Asia,Plant,Supply Planner,Operations,Product Dev,HR & Corp Affairs,V,SMA,Design,
EMP100039,Budi Adi Permadi,476249,65,PT VASKA Wellness,HQ,HRBP,IT,Operations,HR & Corp Affairs,III,S2,Engineering,1.0
